Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2014,65213,Diesel,Manual,First,16,2179,140,7,9.45
2016,170000,Diesel,Manual,First,24.4,1120,71,5,4
2017,36884,Diesel,Automatic,First,13,2143,204,5,32.25
2009,62500,Petrol,Manual,First,20.36,1197,78.9,5,2.1
2015,68000,Petrol,Automatic,Second,14.28,1798,138.03,5,9.75
2014,40748,Petrol,Manual,First,14.53,1798,138,5,6.3
2013,60000,Diesel,Automatic,First,17.32,1968,184,5,21
2014,12400,Diesel,Manual,First,21.9,1396,88.8,5,4.65
2013,87000,Diesel,Automatic,Second,19.27,2143,167.62,5,17
2013,20248,Diesel,Manual,First,21.1,1248,73.9,5,4.35
2017,52383,Diesel,Manual,First,19.67,1582,126.2,5,14.82
2018,1000,Diesel,Automatic,First,13.6,1999,177,5,40
2016,85000,Diesel,Manual,First,14.95,2489,93.7,7,6.15
2014,47000,Diesel,Manual,First,12.99,2494,100.6,7,11.25
2018,17585,Petrol,Automatic,First,19.16,2494,157.7,5,32
2018,32496,Diesel,Automatic,First,13.22,2967,241.4,5,45.62
2017,34613,Diesel,Manual,First,28.4,1248,74,5,6.24
2015,153000,Diesel,Manual,First,20.77,1248,88.76,7,4.8
2014,54000,Petrol,Manual,Second,16.1,1197,85,5,4.5
2015,16900,Petrol,Manual,First,20.36,1197,78.9,5,3.87
2013,62334,Petrol,Manual,First,20.36,1197,78.9,5,2.75
2018,23714,Petrol,Manual,First,21.4,1197,83.1,5,6.57
2010,52325,Petrol,Manual,First,16.36,1495,93.7,5,2
2012,50000,Petrol,Manual,First,19.4,1198,86.8,5,3.65
2016,55746,Diesel,Manual,First,22.9,1248,74,5,6.95
2014,54000,Petrol,Manual,First,20.14,1197,81.86,5,5.5
2013,43000,Diesel,Manual,First,16,2179,140,7,7
2014,40000,Diesel,Automatic,First,13,2143,201.1,5,24
2010,125000,Diesel,Automatic,Second,,2179,115,5,11
2016,51944,Diesel,Automatic,First,19.27,2143,170,5,32.5
2015,46950,Diesel,Manual,First,21.27,1396,88.76,5,6.45
2015,23000,Diesel,Automatic,First,19.3,1968,141,5,15.75
2014,54546,Petrol,Manual,First,17,1497,118,5,5.5
2015,51535,Diesel,Automatic,First,12.55,2982,168.5,7,19.03
2013,45000,Diesel,Automatic,First,17.32,1968,184,5,15.25
2012,46004,Petrol,Manual,First,20.92,998,67.1,5,2.4
2011,124000,Diesel,Manual,First,23.03,1396,69,5,2.3
2014,77395,Diesel,Automatic,First,17.11,1968,174.33,5,14.35
2018,10600,,Manual,First,,796,40.3,4,3.5
2018,22974,Petrol,Automatic,First,18,1497,117.3,5,11.97
2009,89000,Petrol,Manual,Second,,999, ,5,1.6
2015,65012,Diesel,Manual,First,14.24,2755,174.5,7,18.9
2017,17125,Petrol,Manual,First,18.9,1197,82,5,5.4
2015,90413,Petrol,Manual,First,15.1,1196,73,7,2.95
2013,37000,Petrol,Manual,First,16.47,1198,73.9,5,5.1
2006,65000,Petrol,Manual,First,18.9,1061,67,5,1.5
2011,66000,Petrol,Manual,First,17,1497,118,5,4.9
2010,86000,Petrol,Manual,First,14.8,1799,130.2,5,2.9
2005,98437,Petrol,Manual,First,13,1493,100,5,1.15
2010,18000,Petrol,Manual,First,18.5,1197,80,5,2.3
2018,35070,Diesel,Manual,First,24,1120,70,5,5.99
2011,42000,Petrol,Automatic,Third,14.4,1598,103.6,5,3.4
2009,40000,Petrol,Manual,First,20.36,1197,78.9,5,1.7
2009,43000,Petrol,Manual,First,17,1197,80,5,1.99
2012,65000,Petrol,Manual,First,18.6,1199,79.4,5,2.5
2013,74000,Diesel,Manual,First,22.07,1199,73.9,5,4.85
2010,51192,Petrol,Manual,First,15.6,1196,70,5,2.65
2014,14262,Petrol,Automatic,First,9.9,1984,207.8,,27.35
2015,66339,Diesel,Manual,Second,25.1,1498,98.6,5,6.9
2013,90200,Diesel,Manual,First,20,1399,68.05,5,3.5
2015,57854,Diesel,Manual,First,12.99,2494,100.6,7,12.5
2017,32000,Petrol,Automatic,First,19.12,1373,91.1,5,9.2
2015,29631,Petrol,Automatic,First,18.9,1197,82,5,4.9
2009,55005,Petrol,Manual,First,12.8,,,,3.2
2014,54173,Petrol,Manual,First,18.88,999,123.24,5,5.55
2014,50000,Petrol,Automatic,First,14.7,1798,177.6,5,13.5
2010,145000,Diesel,Manual,First,20.4,1248,91.7,5,2.6
2015,78000,Petrol,Manual,First,16.1,1298,88.2,5,4.5
2013,65000,Diesel,Automatic,Second,11.8,2993,180,7,34
2012,120000,Diesel,Manual,First,12.8,2494,102,7,12
2015,14000,Diesel,Manual,First,28.4,1248,74,5,5.25
2014,57456,Diesel,Automatic,First,17.68,1968,174.33,5,21.56
2012,44450,Diesel,Automatic,First,22.48,1995,190,5,24.68
2013,63777,Petrol,Manual,First,18.5,1197,82.9,5,3.67
2016,31000,Diesel,Automatic,First,17.05,1995,190,5,29.5
2012,60000,Petrol,Manual,First,17.6,1496,88.73,5,3.1
2015,78008,Diesel,Manual,First,17,1405,70,5,2.9
2014,33000,Diesel,Automatic,Second,,2987,165,5,43
2009,27078,Petrol,Automatic,First,10.98,1984,114.4,4,15.95
2011,57275,Diesel,Manual,First,19.7,1598,103.6,5,4.5
2014,45000,Diesel,Manual,First,24,1120,70,5,3.49
2014,57319,Diesel,Manual,First,25.2,1248,74,5,4.25
2008,121097,Diesel,Manual,Second,24,1396,88.76,5,1.9
2011,89000,Diesel,Automatic,First,16.73,1995,218,5,16.57
2012,72000,Petrol,Manual,First,17,1497,118,5,5.75
2013,36000,Diesel,Automatic,Second,16.55,1968,147.51,5,14
2013,86000,Diesel,Manual,Second,19.5,1248,75,5,2.5
2002,85000,Petrol,Manual,First,13,1343,90,5,1.2
2005,120000,Petrol,Manual,Second,15.5,1242, ,5,0.85
2013,37613,Diesel,Automatic,First,22.69,1995,190,5,13.95
2007,100000,Petrol,Manual,First,16.6,1388,68,5,1.6
2016,5240,Petrol,Automatic,First,21.9,624,37.48,4,3.6
2018,20000,,Manual,First,,1196,73,5,4.5
2019,16862,Petrol,Manual,First,20.89,1197,81.8,5,6.06
2013,59254,Petrol,Manual,Second,17.5,1298,85.8,5,5.29
2014,60000,Diesel,Manual,First,22.7,1498,89.84,5,5.75
2015,50295,Petrol,Manual,First,16.1,,,,5.8
2014,47674,Petrol,Manual,First,19.1,1197,85.8,5,5.72
2014,61517,Petrol,Automatic,First,16.95,1197,78.9,5,4.39
2016,62946,Diesel,Manual,First,15.1,2179,140,7,11.05
2015,66823,Diesel,Manual,Second,22.54,1396,88.73,5,4.83
2013,79494,,Manual,First,,998,67.04,5,2.96
2012,107000,Diesel,Manual,Second,21.27,1396,88.76,5,4.5
2011,55000,Diesel,Automatic,Second,16.46,2993,258,5,19.5
2017,24000,Petrol,Automatic,First,14.3,1598,103.52,5,8.75
2016,20002,Diesel,Automatic,First,14.75,2967,245,7,67
2016,54317,Petrol,Manual,First,17.4,1497,117.3,5,8.4
2016,10200,Petrol,Manual,First,19.1,1197,82,5,4.99
2016,24337,Diesel,Manual,First,26,1498,98.6,5,8.18
2012,79000,Petrol,Manual,First,18.4,1198,86.8,5,2.9
2015,40500,Diesel,Manual,First,28.09,1248,88.5,5,7.1
2016,23000,Diesel,Manual,First,26.59,1248,74,5,7.05
2015,63050,Petrol,Automatic,First,11.1,2354,158.8,5,17.5
2008,78000,Petrol,Automatic,Second,14.53,1794,138.1,5,3.41
2005,70000,Petrol,Manual,First,,1590, ,5,1.3
2012,66245,Petrol,Manual,First,17,1497,118,5,5.68
2007,74112,Diesel,Manual,First,12.05,2179,120,,4.1
2011,87670,Petrol,Manual,First,13.4,1798,157.8,5,4
2015,10000,Diesel,Automatic,First,18.88,1995,184,5,30
2007,62493,Petrol,Manual,First,15,1586,104.68,5,1.8
2015,44620,Petrol,Manual,First,20.73,1373,91.1,5,6.93
2012,66538,Diesel,Automatic,First,10.2,4367,308,7,70
2013,60000,Diesel,Manual,First,12.99,2494,100,7,7.9
2011,20842,Petrol,Manual,First,,1086,62,5,2.78
2014,110000,Diesel,Automatic,First,13.01,2199,194.3,7,14.4
2011,45000,Petrol,Automatic,Second,11.74,1796,186,5,13.5
2014,40000,,Manual,Second,,998,58.16,5,3.15
2012,49008,Petrol,Manual,First,19.7,796,46.3,5,2.88
2016,31000,Petrol,Manual,First,24.7,796,47.3,5,2.15
2013,8000,Petrol,Manual,First,16.95,1498,97.7,5,3.75
2019,171,Petrol,Manual,First,24.7,796,47.3,5,3.6
2018,2100,Petrol,Manual,First,24.07,998,67.1,5,3.6
2018,20667,Petrol,Automatic,First,18.9,1197,81.86,5,7.55
2015,50000,Diesel,Manual,First,24.2,1498,98.6,7,4.7
2010,100030,Diesel,Manual,Second,18.8,1248,90,5,1.6
2011,75372,Diesel,Manual,First,16.52,1991,123.7,5,3.34
2016,60475,Petrol,Automatic,First,18,1497,117.3,5,9.1
2019,18453,Petrol,Manual,First,18.9,1197,81.86,5,6.17
2008,96578,Diesel,Manual,First,22,1582,126.2,5,2.5
2016,31001,Petrol,Manual,First,18.44,1198,75,5,3
2012,65900,Diesel,Manual,First,22.32,1582,126.32,5,5.75
2017,26246,Petrol,Manual,First,15.29,1591,121.3,5,10.75
2013,62700,Petrol,Manual,Second,20.51,998,67.04,5,2.85
2008,90000,Petrol,Automatic,First,10.2,2354,180,5,6.5
2016,36000,Petrol,Automatic,First,16.8,1497,118,5,9.45
2016,46000,Diesel,Manual,First,27.39,1248,74,5,6.75
2017,73003,Diesel,Manual,First,26,1498,98.6,5,7.75
2014,46566,Diesel,Manual,First,22.54,1396,88.76,5,4.4
2015,41493,Diesel,Automatic,First,13,2987,265,5,42
2014,103788,Diesel,Manual,First,19.01,1461,108.5,5,5.67
2016,45000,Diesel,Automatic,First,19.6,1461,108.45,5,11.5
2009,120000,Petrol,Manual,First,18.9,998,67.1,5,1.69
2009,97359,Diesel,Manual,Second,17.1,1493,110,5,1.8
2016,62000,Petrol,Manual,First,18.5,1197,85.8,5,3.2
2004,115000,Petrol,Manual,Second,,,,,1.5
2019,18373,Diesel,Automatic,First,22.48,1995,187.74,5,45.86
2016,60453,Petrol,Manual,First,16.47,1198,74,5,5.1
2013,37000,Diesel,Manual,First,17.8,1248, ,5,4.85
2010,69009,Petrol,Manual,Second,15.6,1196,70,5,2.4
2013,30000,Diesel,Automatic,First,18.88,1995,184,5,22
2012,70707,Diesel,Manual,First,22.32,1582,126.32,5,4.28
2015,64677,Diesel,Manual,First,20.45,1461,83.8,5,5.67
2018,3000,Petrol,Automatic,First,18.9,1197,81.86,5,6.2
2013,49000,Diesel,Automatic,Second,17.05,1995,184,5,14.49
2010,71000,Diesel,Manual,First,21.1,1248,73.9,5,3
2010,52000,Petrol,Manual,Second,19.81,1086,68.05,5,2.25
2016,35659,Diesel,Automatic,First,15.97,2993,258,7,43.78
2019,5377,Petrol,Manual,First,16.8,1497,116.3,5,11.45
2014,65000,Diesel,Automatic,First,11.18,2696,184,7,10.5
2015,92708,Diesel,Manual,First,22.7,1498,89.84,5,7.48
2010,48105,Petrol,Manual,First,19.7,796,46.3,5,3.1
2011,46759,Petrol,Manual,First,16.47,1198,74,5,2.55
2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,3.5
2012,35175,Diesel,Manual,First,22.07,1199,73.9,5,2.59
2013,70000,Diesel,Manual,First,20.77,1248,88.8,7,5.45
2017,30000,Diesel,Manual,First,22.77,1498,98.59,5,6
2016,66618,Diesel,Automatic,First,11.36,2755,171.5,7,15.49
2010,69300,Petrol,Automatic,Second,10.8,2497,150,5,12.5
2017,148000,Diesel,Manual,First,23.4,1248,74,5,4.75
2017,22000,Petrol,Manual,First,18.88,999,123.24,5,7.85
2013,75000,Diesel,Manual,First,16.8,1493,110,5,6
2016,43706,Petrol,Manual,First,17.57,1193,88.7,5,4
2011,42000,Diesel,Automatic,First,14.4,2967,241.4,5,28.75
2012,65000,Diesel,Manual,First,22.3,1248,74,5,2.5
2015,76128,Diesel,Manual,First,26.59,1248,74,5,5.5
2010,39852,Petrol,Manual,First,16,1368,90,5,1.59
2017,18673,Petrol,Manual,First,18.6,1197,81.83,5,6.22
2016,11583,Petrol,Manual,First,21.1,814,55.2,5,2.75
2007,82000,Petrol,Manual,Second,,1086, ,5,1.35
2017,50000,Diesel,Automatic,First,17.9,2143,136,5,25
2014,77000,Petrol,Manual,First,23.1,998,67.04,5,2.8
2014,54890,Petrol,Manual,Second,17.8,1199,76.8,5,2.45
2016,21000,Petrol,Automatic,First,19,1199,88.7,5,6.35
2009,58557,Diesel,Automatic,Third,16.07,1995,181,5,8
2014,70000,Diesel,Manual,First,19.01,1461,108.45,5,8.25
2017,16000,Petrol,Automatic,First,17.01,1499,110.4,5,5.95
2018,8899,Diesel,Manual,First,13.68,2393,147.8,7,19.92
2016,83629,Diesel,Manual,First,25.44,936,56.3,5,3.15
2014,35059,Petrol,Automatic,First,17.21,1798,189,4,5.75
2018,30552,Diesel,Automatic,First,10.91,3198,197.2,7,32.44
2016,44875,Diesel,Automatic,Second,22.32,1582,126.32,5,8.01
2017,25095,Petrol,Manual,First,18.16,1196,86.8,5,6.48
2007,59000,Petrol,Manual,First,16.1,796,37,4,0.75
2014,36000,Diesel,Manual,First,26,1498,98.6,5,5
2012,37000,Diesel,Manual,First,16,2179,140,7,7.75
2010,90000,Diesel,Manual,First,20,1399,68,5,2.6
2018,17000,Petrol,Manual,First,17,1497,121.36,5,9.2
2015,42575,Petrol,Manual,First,18.6,1197,81.83,5,5.05
2012,131000,Diesel,Manual,First,12.99,2494,100,7,9.6
2013,74000,Diesel,Manual,First,20.46,1461,83.8,5,5.5
2013,47234,Diesel,Manual,First,12.99,2494,100.6,8,9.35
2009,231673,Petrol,Manual,First,17,1497,118,5,2.6
2016,10000,Petrol,Manual,First,24.07,998,67.1,5,3.5
2016,49389,Petrol,Manual,First,19.49,1198,67.04,5,4.26
2016,12000,Petrol,Automatic,Second,23.1,998,67.04,5,4.25
2010,65000,Petrol,Manual,Second,11.7,1796,178,5,11.75
2013,177000,Diesel,Manual,First,23.5,1498,88.7,5,3.5
2015,89000,Petrol,Manual,First,17.01,1591,121.3,5,7.5
2009,72000,Petrol,Automatic,Third,15,1396,100,5,3.25
2012,49000,Petrol,Manual,First,17.5,1298,85.8,5,4.9
2014,51355,Diesel,Automatic,First,14.84,2143,170,5,27
2017,13460,Petrol,Manual,First,18.6,1197,81.86,5,8.91
2014,35642,Petrol,Automatic,First,17.01,1591,121.4,5,6.69
2014,52895,Diesel,Manual,First,17.3,1998,163.7,5,6.02
2010,93000,Petrol,Manual,First,14.28,1798,138.03,5,4.5
2011,70000,Petrol,Manual,First,19,998,66.1,5,2
2012,32048,Diesel,Manual,First,23.08,1461,63.1,5,2.4
2013,4700,Petrol,Manual,First,25.4,624,37.48,4,1.2
2014,71800,Diesel,Manual,First,23.4,1248,74,5,2.9
2008,69078,Petrol,Manual,First,,,,,40.88
2016,45000,Diesel,Automatic,First,17.32,1968,184,5,27
2016,15388,Diesel,Manual,First,25.8,1498,98.6,5,7.5
2004,98798,Petrol,Manual,First,14.7,1599,104,5,1.5
2016,43000,Diesel,Automatic,First,14.16,1968,174.3,5,39.5
2012,85112,Diesel,Manual,First,23.2,1248,73.94,5,3.39
2018,37804,Diesel,Manual,First,15.4,2179,120,7,12.4
2014,45000,Diesel,Manual,First,28.09,1248,88.5,5,6.85
2011,116000,Diesel,Manual,Second,21.43,1364,138,5,5.75
2015,100073,Diesel,Manual,Second,25,1396,69,5,2
2006,165000,Petrol,Manual,First,16.1,796,37,4,0.9
2015,22000,Petrol,Manual,First,16.47,1198,74,5,3.8
2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5,16.35
2012,152000,Diesel,Automatic,First,11.5,2982,169,7,16.5
2019,17705,Petrol,Manual,First,21.4,1197,83.1,5,8.7
2016,12000,Petrol,Manual,First,21.4,1197,83.1,5,6.1
2013,51000,Diesel,Automatic,First,23.8,1998,112,5,21.94
2009,42000,Diesel,Automatic,Second,13,2987,210,5,22
2015,51000,Petrol,Manual,First,20.92,998,67.1,5,2.65
2017,42527,Petrol,Manual,First,20.4,1197,81.8,5,5.27
2014,45000,Diesel,Manual,First,22.1,1248,74,5,2.48
2011,70000,Diesel,Manual,First,12.8,2494,102,8,6
2009,92000,Diesel,Manual,First,11.5,2982,171,7,8.9
2012,57156,Diesel,Automatic,Second,18.88,1995,184,5,18
2016,53211,Petrol,Manual,First,16.8,1395,138.02,5,11.64
2019,80000,Diesel,Manual,First,11.5,2982,171,7,8.99
2009,74000,Diesel,Automatic,First,15.5,1896,105,5,5.25
2011,37000,Diesel,Manual,First,23,1396,90,5,2.95
2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5,2.65
2013,57197,Petrol,Manual,First,15.04,1598,103.6,5,4
2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5,12.5
2014,33000,Petrol,Manual,First,21.1,1197,85.8,5,3.25
2008,70000,Petrol,Manual,First,13.1,1997,141.1,5,4
2012,75000,Diesel,Manual,Second,15.1,2179,140,7,6.25
2016,58095,Diesel,Manual,First,21.66,1498,108.62,5,5.8
2015,7445,Petrol,Manual,First,17.57,1193,88.7,5,5
2016,17652,Diesel,Automatic,First,12.9,2993,270.88,5,58.73
2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5,17.49
2011,69000,Petrol,Manual,Second,19,998,66.1,5,1.95
2007,80000,Petrol,Automatic,First,11.1,2354,142,5,3
2014,42365,Petrol,Manual,First,17,1197,80,5,5.5
2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7,16.5
2011,40000,Petrol,Automatic,Second,11.74,1796,186,5,14.5
2016,30112,Diesel,Manual,First,27.39,1248,74,5,7.79
2017,43775,Diesel,Manual,First,20.77,1248,88.76,7,8.27
2019,26013,Diesel,Automatic,First,12.65,2993,255,5,97.07
2012,56000,Petrol,Manual,First,12.9,1598,102.5,5,2.15
2008,95000,Petrol,Automatic,Second,12.9,1799,130,5,3
2014,41089,Diesel,Automatic,First,16.09,1995,184,5,28.79
2011,41988,Diesel,Automatic,First,20,1968,138.1,5,5.45
2013,72486,Diesel,Manual,First,23.4,1248,74,5,3.95
2013,92000,Diesel,Automatic,First,23.3,1984,150,5,16
2013,40000,Petrol,Manual,First,17.5,1298,85.8,5,4.25
2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5,34.5
2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5,2.6
2017,29219,Diesel,Manual,First,12.99,2494,100.6,8,13.48
2018,39927,Diesel,Manual,First,12.55,2982,168.5,7,32.1
2018,38593,Petrol,Manual,First,18.7,1199,88.7,5,6.17
2015,32000,Petrol,Manual,First,17,1497,118,5,5.5
2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5,9.15
2014,95000,Diesel,Manual,First,21.64,1461,84.8,5,4.5
2014,194000,Diesel,Manual,First,12.99,2494,100.6,8,10.5
2016,14821,Petrol,Manual,First,19.4,1198,86.8,5,5.37
2012,52000,Petrol,Manual,First,15.04,1598,103.6,5,5.45
2016,33000,Diesel,Manual,First,16,2179,140,7,9.25
2016,29200,Diesel,Manual,First,23,1498,98.96,5,7.7
2012,99754,Diesel,Manual,First,17.72,1968,108.49,5,7.99
2012,49000,Petrol,Manual,First,20.36,1197,78.9,5,3
2005,299322,Diesel,Manual,First,12.8,2494,102,8,4
2018,38310,Diesel,Manual,First,20.65,1248,88.7,5,6.69
2014,56000,Diesel,Manual,First,22.9,1248,74,5,4.25
2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5,10.5
2019,11241,Diesel,Manual,First,13.68,2393,147.8,8,22.55
2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5,5.2
2019,23882,Petrol,Manual,First,17.4,1497,117.3,5,11.87
2014,65000,Diesel,Manual,First,26,1498,98.6,5,6.99
2011,50000,Diesel,Manual,First,20.54,1598,103.6,5,5
2014,25000,Diesel,Automatic,First,12.19,2967,236,5,44
2015,21000,Petrol,Manual,First,22.74,796,47.3,5,2.79
2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5,2.9
2016,68000,Petrol,Manual,First,15.29,1591,121.3,5,9.85
2014,52000,Diesel,Automatic,First,12,2987,224,7,49
2016,19000,Diesel,Manual,First,16.55,2498,105,6,9.25
2011,74000,Diesel,Manual,Second,22.32,1582,126.3,5,3.75
2017,30279,Diesel,Manual,First,26.1,1498,99,5,7.29
2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4,23.5
2013,34834,Petrol,Manual,First,14,796,35,5,2.6
2015,90000,Diesel,Manual,Second,21.03,1461,65,5,3.1
2016,38730,Diesel,Automatic,First,14.21,2143,203,5,29.98
2016,57390,Diesel,Manual,First,19.01,1461,108.45,5,6.73
2016,100000,Diesel,Manual,First,23.4,1248,74,5,3.5
2011,50000,Petrol,Manual,First,16.47,1198,73.9,5,2.35
2017,64961,Diesel,Manual,First,16,2179,140,7,16.13
2014,72465,Petrol,Manual,First,16.47,1198,74,5,5.9
2012,68776,Petrol,Manual,First,21.1,1197,85.8,5,3.9
2005,150000,Petrol,Manual,First,14.7,1598, ,5,1.5
2012,68000,Diesel,Manual,First,12.8,2494,102,7,6.95
2015,33000,Diesel,Manual,First,26,1498,98.6,5,7
2017,22389,Petrol,Manual,First,17,1198,73.75,5,7.23
2012,90000,Diesel,Manual,First,21.5,1248,88.8,5,3.81
2012,42000,Petrol,Manual,Third,18.6,1197,85.8,5,4.5
2017,38767,Diesel,Manual,First,19.67,1582,126.2,5,12.6
2015,21000,Diesel,Automatic,First,12.07,2967,241.4,7,48
2010,59136,Petrol,Manual,First,19.7,796,46.3,5,2.96
2014,36000,Diesel,Manual,First,25.8,1498,98.6,5,3.25
2011,95000,Diesel,Automatic,Second,18.33,1968,167.7,5,8.5
2013,51000,Diesel,Automatic,First,19.5,1582,126.24,5,8.75
2011,36411,Petrol,Manual,First,18.9,998,67.1,5,3.08
2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7,41.5
2016,27300,Petrol,Manual,First,17.8,1497,117.3,5,7
2011,29813,Petrol,Automatic,Second,14.74,1991,181.03,5,11.5
2011,71000,Petrol,Manual,First,20.51,998,67.04,5,2.6
2014,32000,Diesel,Manual,First,22.32,1582,126.3,5,4.3
2017,19234,,Manual,First,,1373,80.46,7,8.35
2017,50510,Diesel,Automatic,First,17.06,1968,141,5,24.9
2011,102000,Diesel,Automatic,First,15.06,1995,177,5,13.75
2014,42277,Diesel,Manual,First,24,1186,73.97,5,3.85
2014,46000,Diesel,Automatic,First,13,2143,201.1,5,23.25
2012,35000,Diesel,Manual,First,13.6,2523, ,7,7
2015,50000,Petrol,Manual,First,18.9,1197,82,5,5.75
2008,62000,Petrol,Manual,Second,20.36,1197,78.9,5,1.65
2012,78000,Diesel,Manual,First,19.33,1968,138.1,5,6.5
2011,79000,Diesel,Manual,First,17.67,1968,138.08,5,7.5
2019,6773,Diesel,Automatic,First,14.75,2967,245,7,72.94
2010,135000,Diesel,Manual,Second,11.5,2982,171,7,11
2013,36716,Petrol,Manual,First,18.9,1061,67,5,3.02
2013,65060,Petrol,Manual,First,21.1,814,55.2,5,3.32
2013,33000,Petrol,Manual,First,19.4,1198,86.8,5,3.24
2015,11110,Petrol,Manual,First,22.74,796,47.3,5,2.35
2013,63000,Diesel,Manual,First,15.96,2523,62.1,7,5.5
2015,27030,Petrol,Manual,First,17.8,1497,117.3,5,6.75
2015,19600,Petrol,Manual,First,15,1598,103.52,5,6.15
2016,27755,Petrol,Manual,First,22,1197,81.8,5,5.45
2013,20000,Petrol,Manual,Second,21.1,814,55.2,5,2.3
2015,24782,Petrol,Manual,First,20.85,1197,83.14,5,6.21
2014,47303,Petrol,Automatic,First,19.34,1198,76,5,5.21
2008,71000,Petrol,Automatic,First,8.3,4134,250,7,11.99
2010,135000,Diesel,Manual,First,17.8,1248,75,5,3.1
2017,1000,Diesel,Manual,First,13.49,2179,138.03,5,7.5
2016,29000,Diesel,Manual,First,20.14,1498,88.8,5,4
2016,36367,Petrol,Manual,First,17.8,1497,117.3,5,7.73
2015,38000,Petrol,Manual,First,17.4,1497,117.3,5,7.8
2011,83969,Petrol,Manual,First,16.1,796,37,4,1.3
2014,82621,Diesel,Manual,First,20.14,1498,88.8,5,4.42
2009,89000,Diesel,Automatic,First,12.5,1991,147.9,7,4
2016,54000,Diesel,Manual,First,16,2179,140,7,13
2015,61691,Diesel,Manual,First,25.8,1498,98.6,5,5.38
2011,32200,Petrol,Manual,Second,17,1197,80,5,3.25
2016,68630,Petrol,Automatic,First,20.51,998,67,5,3.87
2014,61000,Diesel,Automatic,Second,16.96,1968,138.03,5,8.25
2018,32644,Petrol,Manual,First,20.73,1373,91.1,5,9.28
2012,85000,Diesel,Automatic,First,11.79,2179,120,7,6.25
2008,75000,Petrol,Manual,Second,15.26,1150,74.9,5,1.15
2016,40347,Petrol,Manual,First,20.73,1373,91.2,5,7.8
2012,60788,Diesel,Manual,First,23,1396,90,5,4.5
2018,18664,Petrol,Manual,First,18.7,1199,88.7,5,7.56
2017,57847,Diesel,Manual,First,16,2179,140,7,16.08
2012,52237,Petrol,Manual,First,17,1197,80,5,4.5
2012,128000,Diesel,Manual,First,22.32,1582,126.32,5,5
2011,54000,Petrol,Manual,First,19.81,1086,68.05,5,2.2
2014,49800,Petrol,Automatic,First,23.1,998,67.04,5,4
2012,98000,Diesel,Manual,First,20.86,1199,73.9,5,2.51
2015,60095,Diesel,Manual,First,25.2,1248,74,5,4.75
2008,68000,Petrol,Manual,Second,16,1086,66.7,5,2
2010,81402,Petrol,Manual,Second,20.36,1197,78.9,5,2.1
2013,38000,Petrol,Automatic,First,16.5,1499,110,5,6.25
2011,92239,Diesel,Automatic,Second,11.5,2987,210,5,10.6
2017,49224,Diesel,Manual,First,25.2,1248,74,5,6
2004,12000,Petrol,Manual,Second,16.1,796,37,4,0.45
2010,54898,Petrol,Manual,Third,16.1,1298,88.2,5,2.5
2018,2500,Petrol,Manual,First,15.29,1591,121.3,5,12.75
2017,32838,Diesel,Automatic,First,17.05,1995,190,5,30.29
2006,27076,Petrol,Manual,First,13.8,1299,70,5,1.6
2017,75445,Diesel,Manual,First,22.7,1498,89.84,5,7.54
2015,46601,Petrol,Manual,First,20.73,1373,91.1,5,6.84
2012,72000,Diesel,Automatic,First,18.33,1968,167.7,5,6
2017,27000,Diesel,Manual,First,27.3,1498,98.6,5,8
2016,68193,Diesel,Automatic,First,17.11,1968,174.33,5,24.74
2017,34429,Diesel,Manual,First,24,1120,70,5,5.5
2013,46000,Diesel,Automatic,First,12,2987,224,7,36
2013,80544,Diesel,Manual,First,12.99,2494,100.6,7,11.79
2011,42000,Petrol,Manual,Second,16.95,1498,97.7,5,3
2011,94821,Diesel,Automatic,Second,20,1968,138.1,5,6.75
2006,100000,Petrol,Manual,First,14.49,1399,92.7,5,1.4
2014,57000,Diesel,Manual,First,24.2,1498,98.6,7,5.75
2010,79894,Diesel,Manual,First,21.1,1248,73.9,5,3.4
2011,44748,Petrol,Manual,Second,16.47,1198,73.9,5,4.89
2013,31000,Petrol,Manual,First,13.24,1598,102.5,5,4.95
2013,60587,Petrol,Automatic,Second,16.98,998,66.1,5,3.49
2011,32000,Diesel,Manual,First,23.59,1364, ,5,3.85
2014,43772,Petrol,Manual,First,17,1497,118,5,6.35
2017,23576,Petrol,Automatic,First,18.9,1197,82,5,7.08
2017,4000,Diesel,Automatic,First,13.6,1999,177,5,38
2012,62000,Diesel,Manual,First,12.05,2179,120,8,6.25
2011,36000,Petrol,Automatic,First,11.74,1796,186,5,10.15
2014,80000,Petrol,Automatic,First,13.7,1798,157.75,5,10.75
